"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"GIPD: Global Intent Prediction and Decomposition of Cooperative Multi-Robot System in Non-Communication Environments","Y. Zhao; Z. Liu; H. Wei; K. Wang; H. Wang; D. Zhai; K. Jin; H. Shao","School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, and the Key Laboratory of System Control and Information Processing, Ministry of Education of China, Shanghai, China; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, and the Key Laboratory of System Control and Information Processing, Ministry of Education of China, Shanghai, China; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, and the Key Laboratory of System Control and Information Processing, Ministry of Education of China, Shanghai, China; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, and the Key Laboratory of System Control and Information Processing, Ministry of Education of China, Shanghai, China; China State Shipbuilding Corporation 726th Research Institude, Shanghai, China; China State Shipbuilding Corporation 726th Research Institude, Shanghai, China; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, and the Key Laboratory of System Control and Information Processing, Ministry of Education of China, Shanghai, China; School of Automation and Intelligent Sensing, Shanghai Jiao Tong University, and the Key Laboratory of System Control and Information Processing, Ministry of Education of China, Shanghai, China",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11277","11282","In complex multi-robot application scenarios, particularly in dynamically adversarial, hazardous, or disaster environments, traditional cooperation paradigms face significant challenges due to unreliable or absent communication links. Achieving efficient cooperation in the absence of communication has become a key bottleneck limiting the performance of multirobot systems. In this paper, we propose a Global Intent Prediction and Decomposition (GIPD) framework that enables robots to perform cooperative behavior without relying on communication. Each robot independently infers a globally consistent intent based solely on its local observations, ensuring implicit alignment across the system. Given the inferred global intent, robots autonomously determine their responsibilities and select the most appropriate tasks. They then base their local decision-making on the global intent, selected tasks, and individual observations, thereby facilitating effective execution and cooperation. We validate our approach using the MPE and SMAC benchmarks. Additionally, real-world experiments involving multiple ships demonstrate the effectiveness and practical applicability of the proposed GIPD method.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247120","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247120","","Limiting;Disasters;Decision making;Benchmark testing;Multi-robot systems;Marine vehicles;Intelligent robots;Faces","","","","25","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"YOLO-MARL: You Only LLM Once for Multi-Agent Reinforcement Learning","Y. Zhuang; Y. Shen; Z. Zhang; Y. Chen; F. Miao","School of Computing, University of Connecticut, Storrs Mansfield, CT, USA; University of Pennsylvania; School of Computing, University of Connecticut, Storrs Mansfield, CT, USA; NVIDIA; NVIDIA",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11283","11290","Advancements in deep multi-agent reinforcement learning (MARL) have positioned it as a promising approach for decision-making in cooperative games. However, it still remains challenging for MARL agents to learn cooperative strategies for some game environments. Recently, large language models (LLMs) have demonstrated emergent reasoning capabilities, making them promising candidates for enhancing coordination among the agents. However, due to the model size of LLMs, it can be expensive to frequently infer LLMs for actions that agents can take. In this work, we propose You Only LLM Once for MARL (YOLO-MARL), a novel framework that leverages the high-level task planning capabilities of LLMs to improve the policy learning process of multi-agents in cooperative games. Notably, for each game environment, YOLO-MARL only requires one time interaction with LLMs in the proposed strategy generation, state interpretation and planning function generation modules, before the MARL policy training process. This avoids the ongoing costs and computational time associated with frequent LLMs API calls during training. Moreover, trained decentralized policies based on normal-sized neural networks operate independently of the LLM. We evaluate our method across two different environments and demonstrate that YOLO-MARL outperforms traditional MARL algorithms. The Github repository of our code can be found at https://github.com/paulzyzy/YOLO-MARL.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11245945","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245945","","Training;Costs;Large language models;Neural networks;Decision making;Games;Reinforcement learning;Planning;Intelligent robots;Software development management","","5","","30","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"DiffGen: Robot Demonstration Generation via Differentiable Physics Simulation, Differentiable Rendering, and Vision-Language Model","Y. Jin; J. Lv; S. Jiang; C. Lu",Shanghai Jiao Tong University; Shanghai Jiao Tong University; University of Chinese Academy of Sciences; Shanghai Jiao Tong University,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11305","11312","Generating robot demonstrations through simulation is widely recognized as an effective way to scale up robot data. Previous work often trained reinforcement learning agents to generate expert policies, but this approach lacks sample efficiency. Recently, a line of work has attempted to generate robot demonstrations via differentiable simulation, which is promising but heavily relies on reward design, a labor-intensive process. In this paper, we propose DiffGen, a novel framework that integrates differentiable physics simulation, differentiable rendering, and a vision-language model to enable automatic and efficient generation of robot demonstrations. Given a simulated robot manipulation scenario and a natural language instruction, DiffGen can generate realistic robot demonstrations by minimizing the distance between the embedding of the language instruction and the embedding of the simulated observation after manipulation in representation space. The embeddings are obtained from the vision-language model, and the optimization is achieved by calculating and descending gradients through the differentiable simulation, differentiable rendering, and vision-language model components. Experiments demonstrate that with DiffGen, we could efficiently and effectively generate robot data with minimal human effort or training time. The videos of the results can be accessed at https://sites.google.com/view/diffgen.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247245","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247245","","Training;Visualization;Natural languages;Reinforcement learning;Rendering (computer graphics);Robots;Physics;Optimization;Intelligent robots;Videos","","2","","57","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Physics-informed Neural Time Fields for Prehensile Object Manipulation","H. Ren; R. Ni; A. H. Qureshi","Department of Computer Science, Purdue University, West Lafayette, IN, USA; Department of Computer Science, Purdue University, West Lafayette, IN, USA; Department of Computer Science, Purdue University, West Lafayette, IN, USA",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11327","11334","Object manipulation skills are necessary for robots operating in various daily-life scenarios, ranging from warehouses to hospitals. They allow the robots to manipulate the given object to their desired arrangement in the cluttered environment. The existing approaches to solving object manipulations are either inefficient sampling based techniques, require expert demonstrations, or learn by trial and error, making them less ideal for practical scenarios. In this paper, we propose a novel, multimodal physics-informed neural network (PINN) for solving object manipulation tasks. Our approach efficiently learns to solve the Eikonal equation without expert data and finds object manipulation trajectories fast in complex, cluttered environments. Our method is multimodal as it also reactively replans the robot’s grasps during manipulation to achieve the desired object poses. We demonstrate our approach in both simulation and real-world scenarios and compare it against state-of-the-art baseline methods. The results indicate that our approach is effective across various objects, has efficient training compared to previous learning-based methods, and demonstrates high performance in planning time, trajectory length, and success rates. Our demonstration videos can be found at https://youtu.be/FaQLkTV9knI.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246588","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246588","","Training;Learning systems;Neural networks;Kinematics;Minimization;Mathematical models;Trajectory;Planning;Intelligent robots;Videos","","2","","38","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Vibration-Aware Trajectory Optimization for Mobile Robots in Wild Environments via Physics-Informed Neural Network","A. Xu; A. Yang; W. Li; Y. Hu","Research Center for Intelligent Computing Systems, Institute of Computing Technology, Chinese Academy of Sciences, University of Chinese Academy of Sciences, Beijing, China; Institute for AI Industry Research (AIR), Tsinghua University, Beijing, China; Research Center for Intelligent Computing Systems, Institute of Computing Technology, Chinese Academy of Sciences, University of Chinese Academy of Sciences, Beijing, China; Research Center for Intelligent Computing Systems, Institute of Computing Technology, Chinese Academy of Sciences, University of Chinese Academy of Sciences, Beijing, China",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11427","11434","The suspension system, through effective damping of vibrations and shocks, can enhance the stability of wheeled robots traversing challenging terrain. Because the suspension system decouples the rigid correspondence between terrain changes and robot vibrations, considering suspension modeling in trajectory planning offers the advantage of more accurate prediction of the robot’s response to terrain. This improved predictive capability facilitates the planning of safer trajectories and may reduce tracking errors in the subsequent control process. In this work, inspired by the structure of Physics-Informed Neural Network (PINN), we propose a physics-informed planning method that considers the vibrational effects of complex nonlinear suspension systems. In addition, we design a two-stage process to accelerate training. By incorporating PINN, our method can better guarantee the physical feasibility of the planned trajectories. The proposed approach has been evaluated on a real robot platform. Compared to state-of-the-art baseline methods, our proposed approach achieves a 15.38% reduction in hazardous planning for mobile robots in wild environments.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246622","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246622","","Training;Vibrations;Suspensions (mechanical systems);Trajectory planning;Neural networks;Force;Planning;Mobile robots;Robots;Trajectory optimization","","2","","36","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Reinforcement Learning-Based Microrobotic Swarm Navigation and Obstacle Avoidance in Partially Observable Environments","S. Luo; X. An; Q. Yang; H. Zhang; L. Zhang; Q. Wang","Jiangsu Key Laboratory for Design and Manufacturing of Precision Medicine Equipment, School of Mechanical Engineering, Southeast University, Nanjing, China; Jiangsu Key Laboratory for Design and Manufacturing of Precision Medicine Equipment, School of Mechanical Engineering, Southeast University, Nanjing, China; Jiangsu Key Laboratory for Design and Manufacturing of Precision Medicine Equipment, School of Mechanical Engineering, Southeast University, Nanjing, China; Jiangsu Key Laboratory for Design and Manufacturing of Precision Medicine Equipment, School of Mechanical Engineering, Southeast University, Nanjing, China; Department of Mechanical and Automation Engineering, The Chinese University of Hong Kong, Hong Kong, China; Jiangsu Key Laboratory for Design and Manufacturing of Precision Medicine Equipment, School of Mechanical Engineering, Southeast University, Nanjing, China",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11450","11456","Microrobotic swarms have shown promising features due to their collective and flexible behaviours, while achieving precise swarm control and autonomous navigation in complex environments remains a challenge. Here, we propose a Transformer-based reinforcement learning strategy that integrates Proximal Policy Optimization for autonomous swarm control in obstacle environments. By combining domain randomization, this strategy enables direct transfer from simulation to real-world without fine tuning. Experimental results demonstrate robust control performance in avoiding static obstacles and tracking the dynamic target, which is not validated in training. The swarm autonomously navigates and adjusts its velocity and trajectory in obstacle environments with an intact swarm pattern. Our work presents a scalable strategy for the deployment of microrobotic swarms with adaptive navigation capability through complex, constrained environments.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247114","Natural Science Foundation of Jiangsu Province; Southeast University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247114","","Training;Robust control;Target tracking;Navigation;Reinforcement learning;Transformers;Robustness;Trajectory;Collision avoidance;Tuning","","1","","28","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Deep Reinforcement Learning-Based Levitation Control of Wireless Capsule Endoscope by Robotically Driven Permanent Magnet","D. Huang; Z. Li; C. Hu","Department of Mechanical and Energy Engineering, Shenzhen Key Laboratory of Biomimetic Robotics and Intelligent Systems, Southern University of Science and Technology, Shenzhen, China; Department of Mechanical and Energy Engineering, Shenzhen Key Laboratory of Biomimetic Robotics and Intelligent Systems, Southern University of Science and Technology, Shenzhen, China; Department of Mechanical and Energy Engineering, Shenzhen Key Laboratory of Biomimetic Robotics and Intelligent Systems, Southern University of Science and Technology, Shenzhen, China",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11457","11463","Magnetic levitation control provides a promising solution for wireless capsule endoscopy by minimizing tissue pressure and reducing patient discomfort and risks. Compared to electromagnetic actuation systems, using permanent magnets as the actuation source provides stronger magnetic fields at a lower cost. However, permanent magnet-based actuation systems are highly nonlinear and necessitate complex system modeling. In this study, we propose a deep reinforcement learning (DRL)-based control method for permanent magnet levitation. This approach utilizes DRL to learn optimal control strategies in complex and dynamic environments, without the need for detailed modeling of nonlinear physical phenomena such as magnetic interactions, manipulator dynamics, and capsule-environment interactions. A simulation environment was developed where a manipulator equipped with a permanent magnet actuates the internal magnet of a capsule. A multistage reward function and a recurrent neural network with memory capabilities were designed to improve control stability and accuracy. After Sim-to-Sim transfer, the proposed method successfully controlled five degrees of freedom, achieving navigation accuracies of 1.68 mm in the training environment and 9.18 mm in the testing environment. The system maintained stable performance and high accuracy while supporting dynamic tracking at speeds of up to 30 mm/s. Additionally, the method demonstrated significant resistance to disturbances.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246499","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246499","","Wireless communication;Training;Resistance;Accuracy;Endoscopes;Permanent magnets;Stability analysis;Manipulator dynamics;Magnetic levitation;Testing","","","","29","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Offline Imitation Learning upon Arbitrary Demonstrations by Pre-Training Dynamics Representations","H. Ma; B. Dai; Z. Ren; Y. Wang; N. Li","School of Engineering and Applied Sciences, Harvard University; School of Computational Science and Engineering, Georgia Institute of Technology; School of Engineering and Applied Sciences, Harvard University; Mitsubishi Electric Research Laboratories (MERL); School of Engineering and Applied Sciences, Harvard University",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11639","11645","Limited data has become a major bottleneck in scaling up offline imitation learning (IL). In this paper, we propose enhancing IL performance under limited expert data by introducing a pre-training stage that learns dynamics representations, derived from factorizations of the transition dynamics. We first theoretically justify that the optimal decision variable of offline IL lies in the representation space, significantly reducing the parameters to learn in the downstream IL. Moreover, the dynamics representations can be learned from arbitrary data collected with the same dynamics, allowing the reuse of massive non-expert data and mitigating the limited data issues. We present a tractable loss function inspired by noise contrastive estimation to learn the dynamics representations at the pre-training stage. Experiments on MuJoCo demonstrate that our proposed algorithm can mimic expert policies with as few as a single trajectory. Experiments on real quadrupeds show that we can leverage pre-trained dynamics representations from simulator data to learn to walk from a few real-world demonstrations.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246167","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246167","","Imitation learning;Heuristic algorithms;Noise;Estimation;Trajectory;Quadrupedal robots;Intelligent robots","","1","","37","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Context-Based Meta Reinforcement Learning for Robust and Adaptable Peg-in-Hole Assembly Tasks","A. Shokry; W. Gomaa; T. Zaenker; M. Dawood; R. Menon; S. A. Maged; M. I. Awad; M. Bennewitz","Humanoid Robots Lab and Center for Robotics, University of Bonn, Germany; Cyber Physical Systems Lab, Egypt Japan University of Science and Technology, Alexandria, Egypt; Humanoid Robots Lab and Center for Robotics, University of Bonn, Germany; Humanoid Robots Lab and Center for Robotics, University of Bonn, Germany; Humanoid Robots Lab and Center for Robotics, University of Bonn, Germany; Mechatronics Department, Ain Shams University, Cairo, Egypt; Mechatronics Department, Ain Shams University, Cairo, Egypt; Humanoid Robots Lab and Center for Robotics, University of Bonn, Germany",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11646","11653","Autonomous assembly is an essential capability for industrial and service robots, with Peg-in-Hole (PiH) insertion being one of the core tasks. However, PiH assembly in unknown environments is still challenging due to uncertainty in task parameters, such as the hole position and orientation, resulting from sensor noise. Although context-based meta reinforcement learning (RL) methods have been previously presented to adapt to unknown task parameters in PiH assembly tasks, the performance depends on a sample-inefficient procedure or human demonstrations. Thus, to enhance the applicability of meta RL in real-world PiH assembly tasks, we propose to train the agent to use information from the robot’s forward kinematics and an uncalibrated camera. Furthermore, we improve the applicability by efficiently adapting the meta-trained agent to use data from force/torque sensor. Finally, we propose an adaptation procedure for out-of-distribution tasks whose parameters are different from the training tasks. Experiments on simulated and real robots prove that our modifications enhance the sample efficiency during meta training, real-world adaptation performance, and generalization of the context-based meta RL agent in PiH assembly tasks compared to previous approaches.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247014","","Training;Uncertainty;Service robots;Robot vision systems;Noise;Reinforcement learning;Kinematics;Vision sensors;Robustness;Assembly","","","","32","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"TAR: Teacher-Aligned Representations via Contrastive Learning for Quadrupedal Locomotion","A. Mousa; N. Karavis; M. Caprio; W. Pan; R. Allmendinger","University of Manchester, United Kingdom; BAE Systems, United Kingdom; University of Manchester, United Kingdom; University of Manchester, United Kingdom; University of Manchester, United Kingdom",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11669","11676","Quadrupedal locomotion via Reinforcement Learning (RL) is commonly addressed using the teacher-student paradigm, where a privileged teacher guides a proprioceptive student policy. However, key challenges such as representation misalignment between privileged teacher and proprioceptive-only student, covariate shift due to behavioral cloning, and lack of deployable adaptation; lead to poor generalization in real-world scenarios. We propose Teacher-Aligned Representations via Contrastive Learning (TAR), a framework that leverages privileged information with self-supervised contrastive learning to bridge this gap. By aligning representations to a privileged teacher in simulation via contrastive objectives, our student policy learns structured latent spaces and exhibits robust generalization to Out-of-Distribution (OOD) scenarios, surpassing the fully privileged “Teacher”. Results showed accelerated training by 2× compared to state-of-the-art baselines to achieve peak performance. OOD scenarios showed better generalization by 40% on average compared to existing methods. Moreover, TAR transitions seamlessly into learning during deployment without requiring privileged states, setting a new benchmark in sample-efficient, adaptive locomotion and enabling continual fine-tuning in real-world scenarios. Open-source code and videos are available at https://amrmousa.com/TARLoco/.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247281","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247281","","Training;Representation learning;Adaptation models;Propioception;Morphology;Contrastive learning;Reinforcement learning;Stability analysis;Quadrupedal robots;Videos","","4","","32","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Refined Policy Distillation: From VLA Generalists to RL Experts","T. Jülg; W. Burgard; F. Walter","Department of Computer Science & Artificial Intelligence, University of Technology, Nuremberg, Germany; Department of Computer Science & Artificial Intelligence, University of Technology, Nuremberg, Germany; Department of Computer Science & Artificial Intelligence, University of Technology, Nuremberg, Germany",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11677","11684","Vision-Language-Action Models (VLAs) have demonstrated remarkable generalization capabilities in real-world experiments. However, their success rates are often not on par with expert policies, and they require fine-tuning when the setup changes. In this work, we introduce Refined Policy Distillation (RPD), a novel Reinforcement Learning (RL)-based policy refinement method that bridges this performance gap through a combination of on-policy RL with behavioral cloning. The core idea of RPD is to distill and refine VLAs into compact, high-performing expert policies by guiding the student policy during RL exploration using the actions of a teacher VLA, resulting in increased sample efficiency and faster convergence. We complement our method by fine-tuned versions of Octo and OpenVLA for ManiSkill3 to evaluate RPD in simulation. While this is a key requirement for applying RL, it also yields new insights beyond existing studies on VLA performance in real-world settings. Our experimental results across various manipulation tasks show that RPD enables the RL student to learn expert policies that outperform the VLA teacher in both dense and sparse reward settings, while also achieving faster convergence than the RL baseline. Our approach is even robust to changes in camera perspective and can generalize to task variations that the underlying VLA cannot solve. Our code, dataset, VLA checkpoints, and videos are available at https://refined-policy-distillation.github.io","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246761","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246761","","Bridges;Codes;Robot vision systems;Cloning;Reinforcement learning;Cameras;Intelligent robots;Convergence;Videos","","2","","33","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Policy Learning from Large Vision-Language Model Feedback Without Reward Modeling","T. M. Luu; D. Lee; Y. Lee; C. D. Yoo","School of Electrical Engineering, KAIST (Korea Advanced Institute of Science and Technology), Daejeon, Republic of Korea; School of Electrical Engineering, KAIST (Korea Advanced Institute of Science and Technology), Daejeon, Republic of Korea; School of Electrical Engineering, KAIST (Korea Advanced Institute of Science and Technology), Daejeon, Republic of Korea; School of Electrical Engineering, KAIST (Korea Advanced Institute of Science and Technology), Daejeon, Republic of Korea",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11685","11692","Offline reinforcement learning (RL) provides a powerful framework for training robotic agents using pre-collected, suboptimal datasets, eliminating the need for costly, time-consuming, and potentially hazardous online interactions. This is particularly useful in safety-critical real-world applications, where online data collection is expensive and impractical. However, existing offline RL algorithms typically require reward labeled data, which introduces an additional bottleneck: reward function design is itself costly, labor-intensive, and requires significant domain expertise. In this paper, we introduce PLARE, a novel approach that leverages large vision-language models (VLMs) to provide guidance signals for agent training. Instead of relying on manually designed reward functions, PLARE queries a VLM for preference labels on pairs of visual trajectory segments based on a language task description. The policy is then trained directly from these preference labels using a supervised contrastive preference learning objective, bypassing the need to learn explicit reward models. Through extensive experiments on robotic manipulation tasks from the MetaWorld, PLARE achieves performance on par with or surpassing existing state-of-the-art VLM-based reward generation methods. Furthermore, we demonstrate the effectiveness of PLARE in real-world manipulation tasks with a physical robot, further validating its practical applicability.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246902","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246902","","Training;Visualization;Reinforcement learning;Data collection;Robot learning;Trajectory;Intelligent robots","","2","","62","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Neural-Lyapunov Fusion: Stable Dynamical System Learning for Robotic Motion Generation","H. Zhang; Y. Zhang; Y. Zou; H. Li; L. Cheng","School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","11826","11831","Point-to-point and periodic motions are ubiquitous in the world of robotics. To master these motions, Autonomous Dynamic System (ADS) based algorithms are fundamental in the domain of Learning from Demonstration (LfD). However, these algorithms face the significant challenge of balancing precision in learning with the maintenance of system stability. This paper addresses this challenge by presenting a novel ADS algorithm that leverages neural network technology. The proposed algorithm is designed to distill essential knowledge from demonstration data, ensuring stability during the learning of both point-to-point and periodic motions. For point-to-point motions, a neural Lyapunov function is proposed to align with the provided demonstrations. In the case of periodic motions, the neural Lyapunov function is used with the transversal contraction to ensure that all generated motions converge to a stable limit cycle. The model utilizes a streamlined neural network architecture, adept at achieving dual objectives: optimizing learning accuracy while maintaining global stability. To thoroughly assess the efficacy of the proposed algorithm, rigorous evaluations are conducted using the LASA dataset and a massage robot task. The assessments were complemented by empirical validation, providing evidence of the algorithm’s performance.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246877","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246877","","Robot motion;Heuristic algorithms;Neural networks;Limit-cycles;Stability analysis;Trajectory;Maintenance;Dynamical systems;Standards;Lyapunov methods","","","","23","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"A Deep Reinforcement Learning based End-to-End Control Framework for Lower Limb Exoskeletons with Smooth Movement Transitions","M. Kim; W. -J. Baek; J. Park","Department of Intelligence and Information, Graduate School of Convergence Science and Technology, Seoul National University, Seoul, Republic of Korea; Artificial Intelligence Institute(AIIS), Seoul National University, Republic of Korea; Department of Intelligence and Information, Graduate School of Convergence Science and Technology, ASRI, AIIS, Seoul National University, Seoul, Republic of Korea",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","12005","12012","This paper presents an active control strategy for lower limb exoskeletons by proposing an end-to-end framework employing deep reinforcement learning (DRL) to enable smooth transitions between different movement patterns. The majority of existing methods in exoskeleton literature employ finite state machines (FSM) that have proven successful in predicting the control strategy for the next state on the basis of sensor data such as IMU data, force, etc. However, one drawback of FSM occurs due to their inflexibility regarding sudden changes. Specifically, FSM is based on clear state transitions, which makes it hard to manage smooth continuous movements and increases the chance of sudden changes in control during transitions. These, in turn, raise safety concerns for the user. While learning-based control approaches have been suggested in recent years, the validation was performed in simulation environments. Therefore, the real-world applicability remains an open research question to date. To address this issue, we provide the first contribution in this field that proposes an end-to-end learning framework with a Deep Deterministic Policy Gradient (DDPG) module to enable smooth transitions between movement patterns under real-world conditions. By introducing several evaluation metrics, we demonstrate that our framework outperforms existing methods in terms of the adaptability and smoothness in movement transitions.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11247409","National Research Foundation of Korea; Ministry of Education; Seoul National University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11247409","","Measurement;Limbs;Exoskeletons;Force;Automata;Deep reinforcement learning;Robot sensing systems;Safety;Intelligent robots","","2","","33","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
"Diverse and Adaptive Behavior Curriculum for Autonomous Driving: A Student-Teacher Framework with Multi-Agent RL","A. Abouelazm; J. Ratz; P. Schoerner; J. M. Zöllner","FZI Research Center for Information Technology, Germany; Karlsruhe Institute of Technology, Germany; FZI Research Center for Information Technology, Germany; FZI Research Center for Information Technology, Germany",2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"27 Nov 2025","2025","","","12034","12041","Autonomous driving faces challenges in navigating complex real-world traffic, requiring safe handling of both common and critical scenarios. Reinforcement learning (RL), a prominent method in end-to-end driving, enables agents to learn through trial and error in simulation. However, RL training often relies on rule-based traffic scenarios, limiting generalization. Additionally, current scenario generation methods focus heavily on critical scenarios, neglecting a balance with routine driving behaviors. Curriculum learning, which progressively trains agents on increasingly complex tasks, is a promising approach to improving the robustness and coverage of RL driving policies. However, existing research mainly emphasizes manually designed curricula, focusing on scenery and actor placement rather than traffic behavior dynamics. This work introduces a novel student-teacher framework for automatic curriculum learning. The teacher, a graph-based multi-agent RL component, adaptively generates traffic behaviors across diverse difficulty levels. An adaptive mechanism adjusts task difficulty based on student performance, ensuring exposure to behaviors ranging from common to critical. The student, though exchangeable, is realized as a deep RL agent with partial observability, reflecting real-world perception constraints. Results demonstrate the teacher’s ability to generate diverse traffic behaviors. The student, trained with automatic curricula, outperformed agents trained on rule-based traffic, achieving higher rewards and exhibiting balanced, assertive driving.","2153-0866","979-8-3315-4393-8","10.1109/IROS60139.2025.11246550","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11246550","","Training;Pedestrians;Limiting;Navigation;Reinforcement learning;Robustness;Scenario generation;Vehicle dynamics;Observability;Autonomous vehicles","","","","34","IEEE","27 Nov 2025","19-25 Oct. 2025","19-25 Oct. 2025","IEEE","IEEE Conferences"
